------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4053  |     0.7256  |   0.6868  |               |              8.3283  |
|       0  |      1  |      1.2812  |     0.7998  |   0.6858  |               |              8.7357  |
|       0  |      2  |      1.1816  |     0.8516  |   0.8080  |               |              9.1422  |
|       0  |      3  |      1.1445  |     0.8779  |   0.8465  |               |              9.5172  |
|       0  |      4  |      1.1621  |     0.8594  |   0.8290  |               |              9.8898  |
|       0  |      5  |      1.0918  |     0.8906  |   0.8150  |               |             10.2658  |
|       0  |      6  |      1.0430  |     0.9229  |   0.8925  |               |             10.6402  |
|       0  |      7  |      1.0176  |     0.9365  |   0.8978  |               |             11.0146  |
|       0  |      8  |      0.9692  |     0.9590  |   0.9241  |               |             11.3895  |
|       0  |      9  |      0.9390  |     0.9844  |   0.9311  |               |             11.7107  |
|       0  |   eval  |      0.9390  |     0.9844  |   0.9311  |       0.9408  |             11.8216  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4141  |     0.7090  |   0.6785  |               |              0.4093  |
|       1  |      1  |      1.2686  |     0.8135  |   0.7614  |               |              0.8154  |
|       1  |      2  |      1.2041  |     0.8311  |   0.8196  |               |              1.2250  |
|       1  |      3  |      1.1465  |     0.8730  |   0.8046  |               |              1.5994  |
|       1  |      4  |      1.1406  |     0.8691  |   0.8286  |               |              1.9754  |
|       1  |      5  |      1.0742  |     0.9111  |   0.8767  |               |              2.3505  |
|       1  |      6  |      1.0488  |     0.9121  |   0.8828  |               |              2.7259  |
|       1  |      7  |      1.0117  |     0.9365  |   0.8996  |               |              3.1019  |
|       1  |      8  |      0.9751  |     0.9590  |   0.9211  |               |              3.4767  |
|       1  |      9  |      0.9438  |     0.9814  |   0.9314  |               |              3.7996  |
|       1  |   eval  |      0.9438  |     0.9814  |   0.9314  |       0.9387  |              3.9107  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4111  |     0.7139  |   0.6778  |               |              0.4950  |
|       2  |      1  |      1.2773  |     0.8066  |   0.7273  |               |              0.9015  |
|       2  |      2  |      1.1953  |     0.8389  |   0.6895  |               |              1.3124  |
|       2  |      3  |      1.1934  |     0.8369  |   0.8466  |               |              1.6873  |
|       2  |      4  |      1.1318  |     0.8799  |   0.8646  |               |              2.0637  |
|       2  |      5  |      1.0947  |     0.8896  |   0.8742  |               |              2.4398  |
|       2  |      6  |      1.0410  |     0.9170  |   0.8893  |               |              2.8148  |
|       2  |      7  |      1.0244  |     0.9355  |   0.8986  |               |              3.1904  |
|       2  |      8  |      0.9722  |     0.9619  |   0.9191  |               |              3.5646  |
|       2  |      9  |      0.9365  |     0.9795  |   0.9295  |               |              3.8881  |
|       2  |   eval  |      0.9365  |     0.9795  |   0.9295  |       0.9377  |              4.0000  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4463  |     0.7051  |   0.6674  |               |              0.4961  |
|       3  |      1  |      1.2822  |     0.8018  |   0.6426  |               |              0.9083  |
|       3  |      2  |      1.2002  |     0.8428  |   0.7871  |               |              1.3179  |
|       3  |      3  |      1.1436  |     0.8633  |   0.8271  |               |              1.6938  |
|       3  |      4  |      1.1201  |     0.8750  |   0.8062  |               |              2.0711  |
|       3  |      5  |      1.0957  |     0.8867  |   0.8465  |               |              2.4461  |
|       3  |      6  |      1.0439  |     0.9238  |   0.8895  |               |              2.8227  |
|       3  |      7  |      1.0215  |     0.9248  |   0.9071  |               |              3.1988  |
|       3  |      8  |      0.9565  |     0.9746  |   0.9185  |               |              3.5742  |
|       3  |      9  |      0.9502  |     0.9736  |   0.9327  |               |              3.8986  |
|       3  |   eval  |      0.9502  |     0.9736  |   0.9327  |       0.9413  |              4.0103  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4297  |     0.7041  |   0.6221  |               |              0.4116  |
|       4  |      1  |      1.2783  |     0.8057  |   0.7062  |               |              0.8193  |
|       4  |      2  |      1.2295  |     0.8213  |   0.7758  |               |              1.2306  |
|       4  |      3  |      1.1943  |     0.8320  |   0.7602  |               |              1.6066  |
