------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4102  |     0.7188  |   0.6662  |               |              8.0168  |
|       0  |      1  |      1.2725  |     0.8145  |   0.6793  |               |              8.4303  |
|       0  |      2  |      1.1836  |     0.8555  |   0.8240  |               |              8.8451  |
|       0  |      3  |      1.1621  |     0.8652  |   0.8123  |               |              9.2287  |
|       0  |      4  |      1.1484  |     0.8584  |   0.8558  |               |              9.6091  |
|       0  |      5  |      1.1055  |     0.8906  |   0.8373  |               |              9.9928  |
|       0  |      6  |      1.0557  |     0.9082  |   0.8914  |               |             10.3735  |
|       0  |      7  |      1.0303  |     0.9238  |   0.9082  |               |             10.7555  |
|       0  |      8  |      0.9688  |     0.9619  |   0.9208  |               |             11.1367  |
|       0  |      9  |      0.9463  |     0.9727  |   0.9344  |               |             11.5183  |
|       0  |   eval  |      0.9463  |     0.9727  |   0.9344  |       0.9400  |             11.6327  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4121  |     0.7080  |   0.6855  |               |              0.5059  |
|       1  |      1  |      1.2793  |     0.8037  |   0.7717  |               |              0.9219  |
|       1  |      2  |      1.2051  |     0.8369  |   0.8036  |               |              1.3383  |
|       1  |      3  |      1.1514  |     0.8506  |   0.8401  |               |              1.7202  |
|       1  |      4  |      1.1318  |     0.8721  |   0.8406  |               |              2.1023  |
|       1  |      5  |      1.0820  |     0.9043  |   0.8628  |               |              2.4849  |
|       1  |      6  |      1.0488  |     0.9150  |   0.8887  |               |              2.8664  |
|       1  |      7  |      1.0234  |     0.9395  |   0.8904  |               |              3.2485  |
|       1  |      8  |      0.9854  |     0.9531  |   0.9204  |               |              3.6314  |
|       1  |      9  |      0.9409  |     0.9746  |   0.9322  |               |              4.0127  |
|       1  |   eval  |      0.9409  |     0.9746  |   0.9322  |       0.9393  |              4.1265  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4131  |     0.7139  |   0.6727  |               |              0.4909  |
|       2  |      1  |      1.2666  |     0.8135  |   0.7609  |               |              0.9069  |
|       2  |      2  |      1.1777  |     0.8477  |   0.7668  |               |              1.3238  |
|       2  |      3  |      1.1758  |     0.8389  |   0.8477  |               |              1.7057  |
|       2  |      4  |      1.1475  |     0.8574  |   0.8528  |               |              2.0890  |
|       2  |      5  |      1.0967  |     0.8896  |   0.8555  |               |              2.4705  |
|       2  |      6  |      1.0537  |     0.9131  |   0.8863  |               |              2.8523  |
|       2  |      7  |      1.0205  |     0.9346  |   0.8991  |               |              3.2351  |
|       2  |      8  |      0.9810  |     0.9570  |   0.9212  |               |              3.6166  |
|       2  |      9  |      0.9512  |     0.9736  |   0.9304  |               |              4.0004  |
|       2  |   eval  |      0.9512  |     0.9736  |   0.9304  |       0.9391  |              4.1140  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4453  |     0.6992  |   0.6536  |               |              0.4200  |
|       3  |      1  |      1.2803  |     0.7861  |   0.6558  |               |              0.8351  |
|       3  |      2  |      1.2178  |     0.8252  |   0.7973  |               |              1.2532  |
|       3  |      3  |      1.1475  |     0.8623  |   0.8256  |               |              1.6341  |
|       3  |      4  |      1.1064  |     0.8818  |   0.8347  |               |              2.0200  |
|       3  |      5  |      1.1006  |     0.8848  |   0.8534  |               |              2.4014  |
|       3  |      6  |      1.0410  |     0.9229  |   0.9008  |               |              2.7834  |
|       3  |      7  |      1.0234  |     0.9336  |   0.9062  |               |              3.1676  |
|       3  |      8  |      0.9624  |     0.9658  |   0.9191  |               |              3.5486  |
|       3  |      9  |      0.9458  |     0.9814  |   0.9356  |               |              3.9342  |
|       3  |   eval  |      0.9458  |     0.9814  |   0.9356  |       0.9398  |              4.0487  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4404  |     0.7070  |   0.6105  |               |              0.5059  |
|       4  |      1  |      1.2539  |     0.8193  |   0.6732  |               |              0.9223  |
|       4  |      2  |      1.2021  |     0.8486  |   0.8181  |               |              1.3437  |
|       4  |      3  |      1.1865  |     0.8340  |   0.7481  |               |              1.7275  |
|       4  |      4  |      1.1182  |     0.8789  |   0.8559  |               |              2.1099  |
|       4  |      5  |      1.0889  |     0.8975  |   0.8787  |               |              2.4943  |
|       4  |      6  |      1.0625  |     0.9102  |   0.8967  |               |              2.8756  |
|       4  |      7  |      1.0205  |     0.9395  |   0.9019  |               |              3.2591  |
|       4  |      8  |      0.9849  |     0.9502  |   0.9177  |               |              3.6405  |
|       4  |      9  |      0.9424  |     0.9805  |   0.9362  |               |              4.0242  |
|       4  |   eval  |      0.9424  |     0.9805  |   0.9362  |       0.9410  |              4.1372  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4395  |     0.7051  |   0.6723  |               |              0.4195  |
|       5  |      1  |      1.2578  |     0.8135  |   0.7630  |               |              0.8360  |
|       5  |      2  |      1.2021  |     0.8389  |   0.8328  |               |              1.2547  |
|       5  |      3  |      1.1455  |     0.8740  |   0.8388  |               |              1.6380  |
|       5  |      4  |      1.1367  |     0.8662  |   0.7938  |               |              2.0228  |
|       5  |      5  |      1.0898  |     0.9014  |   0.8428  |               |              2.4053  |
|       5  |      6  |      1.0518  |     0.9121  |   0.8892  |               |              2.7883  |
|       5  |      7  |      1.0156  |     0.9336  |   0.8983  |               |              3.1716  |
|       5  |      8  |      0.9678  |     0.9688  |   0.9252  |               |              3.5532  |
|       5  |      9  |      0.9463  |     0.9746  |   0.9368  |               |              3.9373  |
|       5  |   eval  |      0.9463  |     0.9746  |   0.9368  |       0.9418  |              4.0510  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4414  |     0.6992  |   0.6560  |               |              0.4203  |
|       6  |      1  |      1.2588  |     0.7969  |   0.7219  |               |              0.8376  |
|       6  |      2  |      1.2168  |     0.8291  |   0.7963  |               |              1.2556  |
|       6  |      3  |      1.2158  |     0.8223  |   0.7646  |               |              1.6399  |
|       6  |      4  |      1.1289  |     0.8828  |   0.8464  |               |              2.0231  |
|       6  |      5  |      1.0742  |     0.9062  |   0.8508  |               |              2.4069  |
|       6  |      6  |      1.0527  |     0.9131  |   0.8825  |               |              2.7886  |
|       6  |      7  |      1.0381  |     0.9268  |   0.8979  |               |              3.1711  |
|       6  |      8  |      0.9878  |     0.9463  |   0.9226  |               |              3.5536  |
|       6  |      9  |      0.9458  |     0.9697  |   0.9338  |               |              3.9362  |
|       6  |   eval  |      0.9458  |     0.9697  |   0.9338  |       0.9412  |              4.0494  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4219  |     0.7246  |   0.6656  |               |              0.5045  |
|       7  |      1  |      1.2441  |     0.8232  |   0.7237  |               |              0.9229  |
|       7  |      2  |      1.2070  |     0.8281  |   0.8080  |               |              1.3401  |
|       7  |      3  |      1.1455  |     0.8682  |   0.7732  |               |              1.7220  |
|       7  |      4  |      1.1240  |     0.8809  |   0.8494  |               |              2.1051  |
|       7  |      5  |      1.0967  |     0.8965  |   0.8483  |               |              2.4883  |
|       7  |      6  |      1.0508  |     0.9180  |   0.8708  |               |              2.8702  |
|       7  |      7  |      1.0342  |     0.9258  |   0.8690  |               |              3.2535  |
|       7  |      8  |      0.9648  |     0.9648  |   0.9161  |               |              3.6362  |
|       7  |      9  |      0.9517  |     0.9717  |   0.9316  |               |              4.0198  |
|       7  |   eval  |      0.9517  |     0.9717  |   0.9316  |       0.9402  |              4.1339  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.3896  |     0.7373  |   0.7044  |               |              0.5101  |
|       8  |      1  |      1.3232  |     0.7666  |   0.4919  |               |              0.9265  |
|       8  |      2  |      1.1982  |     0.8457  |   0.8112  |               |              1.3446  |
|       8  |      3  |      1.1670  |     0.8477  |   0.7242  |               |              1.7273  |
|       8  |      4  |      1.0918  |     0.8984  |   0.8286  |               |              2.1120  |
|       8  |      5  |      1.1006  |     0.8916  |   0.8371  |               |              2.4938  |
|       8  |      6  |      1.0469  |     0.9180  |   0.8949  |               |              2.8783  |
|       8  |      7  |      1.0225  |     0.9258  |   0.9086  |               |              3.2600  |
|       8  |      8  |      0.9712  |     0.9639  |   0.9190  |               |              3.6436  |
|       8  |      9  |      0.9473  |     0.9756  |   0.9310  |               |              4.0283  |
|       8  |   eval  |      0.9473  |     0.9756  |   0.9310  |       0.9379  |              4.1418  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4590  |     0.6787  |   0.6176  |               |              0.5017  |
|       9  |      1  |      1.2451  |     0.8242  |   0.7840  |               |              0.9172  |
|       9  |      2  |      1.2139  |     0.8320  |   0.6846  |               |              1.3361  |
|       9  |      3  |      1.1465  |     0.8613  |   0.8329  |               |              1.7175  |
|       9  |      4  |      1.1094  |     0.8926  |   0.8589  |               |              2.1039  |
|       9  |      5  |      1.0918  |     0.8857  |   0.8544  |               |              2.4859  |
|       9  |      6  |      1.0420  |     0.9160  |   0.8788  |               |              2.8697  |
