------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4111  |     0.7168  |   0.6893  |               |              8.6897  |
|       0  |      1  |      1.2871  |     0.7939  |   0.6924  |               |              9.0952  |
|       0  |      2  |      1.1895  |     0.8555  |   0.8081  |               |              9.5041  |
|       0  |      3  |      1.1436  |     0.8604  |   0.8264  |               |              9.8814  |
|       0  |      4  |      1.1465  |     0.8701  |   0.8600  |               |             10.2545  |
|       0  |      5  |      1.1094  |     0.8877  |   0.8524  |               |             10.6315  |
|       0  |      6  |      1.0449  |     0.9209  |   0.8774  |               |             11.0056  |
|       0  |      7  |      1.0234  |     0.9336  |   0.8956  |               |             11.3790  |
|       0  |      8  |      0.9707  |     0.9561  |   0.9193  |               |             11.7524  |
|       0  |      9  |      0.9390  |     0.9805  |   0.9306  |               |             12.0959  |
|       0  |   eval  |      0.9390  |     0.9805  |   0.9306  |       0.9403  |             12.2630  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4062  |     0.7197  |   0.6849  |               |              0.5011  |
|       1  |      1  |      1.2822  |     0.8057  |   0.7149  |               |              0.9077  |
|       1  |      2  |      1.2070  |     0.8418  |   0.7960  |               |              1.3178  |
|       1  |      3  |      1.1406  |     0.8604  |   0.8303  |               |              1.6918  |
|       1  |      4  |      1.1348  |     0.8701  |   0.8426  |               |              2.0671  |
|       1  |      5  |      1.0781  |     0.9004  |   0.8518  |               |              2.4399  |
|       1  |      6  |      1.0439  |     0.9209  |   0.8823  |               |              2.8139  |
|       1  |      7  |      1.0117  |     0.9385  |   0.9029  |               |              3.1897  |
|       1  |      8  |      0.9790  |     0.9570  |   0.9180  |               |              3.5643  |
|       1  |      9  |      0.9443  |     0.9785  |   0.9316  |               |              3.9102  |
|       1  |   eval  |      0.9443  |     0.9785  |   0.9316  |       0.9394  |              4.0768  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4229  |     0.7070  |   0.6717  |               |              0.4903  |
|       2  |      1  |      1.2705  |     0.8027  |   0.7678  |               |              0.8972  |
|       2  |      2  |      1.1816  |     0.8477  |   0.6769  |               |              1.3098  |
|       2  |      3  |      1.1826  |     0.8398  |   0.8438  |               |              1.6842  |
|       2  |      4  |      1.1328  |     0.8672  |   0.8516  |               |              2.0607  |
|       2  |      5  |      1.0947  |     0.8867  |   0.8649  |               |              2.4365  |
|       2  |      6  |      1.0566  |     0.9082  |   0.8820  |               |              2.8123  |
|       2  |      7  |      1.0225  |     0.9258  |   0.8860  |               |              3.1884  |
|       2  |      8  |      0.9756  |     0.9648  |   0.9247  |               |              3.5626  |
|       2  |      9  |      0.9443  |     0.9766  |   0.9321  |               |              3.9091  |
|       2  |   eval  |      0.9443  |     0.9766  |   0.9321  |       0.9406  |              4.0773  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4541  |     0.6973  |   0.6388  |               |              0.5011  |
|       3  |      1  |      1.3027  |     0.7842  |   0.6124  |               |              0.9113  |
|       3  |      2  |      1.2061  |     0.8408  |   0.7690  |               |              1.3232  |
|       3  |      3  |      1.1504  |     0.8574  |   0.8425  |               |              1.6981  |
|       3  |      4  |      1.1221  |     0.8682  |   0.8200  |               |              2.0757  |
|       3  |      5  |      1.0947  |     0.8877  |   0.8715  |               |              2.4507  |
|       3  |      6  |      1.0332  |     0.9307  |   0.8883  |               |              2.8269  |
|       3  |      7  |      1.0146  |     0.9355  |   0.9035  |               |              3.2029  |
|       3  |      8  |      0.9653  |     0.9619  |   0.9205  |               |              3.5791  |
|       3  |      9  |      0.9424  |     0.9766  |   0.9330  |               |              3.9256  |
|       3  |   eval  |      0.9424  |     0.9766  |   0.9330  |       0.9403  |              4.0939  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4277  |     0.7021  |   0.6237  |               |              0.4125  |
|       4  |      1  |      1.2734  |     0.8047  |   0.6981  |               |              0.8219  |
|       4  |      2  |      1.2246  |     0.8232  |   0.7509  |               |              1.2344  |
|       4  |      3  |      1.1904  |     0.8438  |   0.8328  |               |              1.6092  |
|       4  |      4  |      1.1230  |     0.8779  |   0.8637  |               |              1.9875  |
|       4  |      5  |      1.0859  |     0.9033  |   0.8677  |               |              2.3631  |
|       4  |      6  |      1.0527  |     0.9053  |   0.8960  |               |              2.7405  |
|       4  |      7  |      1.0186  |     0.9365  |   0.9090  |               |              3.1177  |
|       4  |      8  |      0.9814  |     0.9541  |   0.9200  |               |              3.4938  |
|       4  |      9  |      0.9434  |     0.9795  |   0.9322  |               |              3.8406  |
|       4  |   eval  |      0.9434  |     0.9795  |   0.9322  |       0.9396  |              4.0088  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4316  |     0.7090  |   0.6944  |               |              0.4936  |
|       5  |      1  |      1.2666  |     0.8027  |   0.7679  |               |              0.9035  |
|       5  |      2  |      1.1846  |     0.8516  |   0.8068  |               |              1.3168  |
|       5  |      3  |      1.1504  |     0.8652  |   0.8387  |               |              1.6935  |
|       5  |      4  |      1.1299  |     0.8789  |   0.8325  |               |              2.0726  |
|       5  |      5  |      1.0986  |     0.8926  |   0.8267  |               |              2.4491  |
|       5  |      6  |      1.0527  |     0.9150  |   0.8933  |               |              2.8268  |
|       5  |      7  |      1.0205  |     0.9346  |   0.8924  |               |              3.2037  |
|       5  |      8  |      0.9639  |     0.9668  |   0.9242  |               |              3.5804  |
|       5  |      9  |      0.9341  |     0.9863  |   0.9315  |               |              3.9285  |
|       5  |   eval  |      0.9341  |     0.9863  |   0.9315  |       0.9397  |              4.0969  |
------------------------------------------------------------------------------------------------------
