------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4150  |     0.7178  |   0.6813  |               |              7.8973  |
|          |      1  |      1.2725  |     0.7998  |   0.7027  |               |              8.3087  |
|          |      2  |      1.2041  |     0.8408  |   0.8220  |               |              8.7200  |
|          |      3  |      1.1582  |     0.8594  |   0.7998  |               |              9.1036  |
|          |      4  |      1.1582  |     0.8594  |   0.8452  |               |              9.4808  |
|          |      5  |      1.1064  |     0.8779  |   0.7748  |               |              9.8655  |
|          |      6  |      1.0664  |     0.9229  |   0.8741  |               |             10.2430  |
|          |      7  |      1.0410  |     0.9219  |   0.8964  |               |             10.6226  |
|          |      8  |      0.9971  |     0.9404  |   0.9029  |               |             11.0057  |
|          |      9  |      0.9668  |     0.9580  |   0.9246  |               |             11.3846  |
|          |     10  |      0.9404  |     0.9736  |   0.9302  |               |             11.7652  |
|          |   eval  |      0.9404  |     0.9736  |   0.9302  |       0.9302  |             11.7933  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4219  |     0.7031  |   0.6685  |               |              0.5002  |
|          |      1  |      1.2607  |     0.8203  |   0.7766  |               |              0.9138  |
|          |      2  |      1.2041  |     0.8340  |   0.7701  |               |              1.3284  |
|          |      3  |      1.1572  |     0.8564  |   0.7562  |               |              1.7072  |
|          |      4  |      1.1377  |     0.8643  |   0.8065  |               |              2.0905  |
|          |      5  |      1.0928  |     0.8965  |   0.8412  |               |              2.4696  |
|          |      6  |      1.0713  |     0.9004  |   0.8689  |               |              2.8508  |
|          |      7  |      1.0410  |     0.9297  |   0.8813  |               |              3.2323  |
|          |      8  |      1.0107  |     0.9336  |   0.9067  |               |              3.6126  |
|          |      9  |      0.9731  |     0.9570  |   0.9318  |               |              3.9920  |
|          |     10  |      0.9409  |     0.9795  |   0.9334  |               |              4.3721  |
|          |   eval  |      0.9409  |     0.9795  |   0.9334  |       0.9334  |              4.4002  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4248  |     0.7070  |   0.6783  |               |              0.5008  |
|          |      1  |      1.2578  |     0.8115  |   0.7855  |               |              0.9131  |
|          |      2  |      1.1973  |     0.8418  |   0.7213  |               |              1.3293  |
|          |      3  |      1.1914  |     0.8340  |   0.8279  |               |              1.7088  |
|          |      4  |      1.1406  |     0.8662  |   0.8287  |               |              2.0926  |
|          |      5  |      1.0996  |     0.8984  |   0.8717  |               |              2.4709  |
|          |      6  |      1.0693  |     0.9023  |   0.8746  |               |              2.8521  |
|          |      7  |      1.0469  |     0.9219  |   0.8789  |               |              3.2333  |
|          |      8  |      1.0107  |     0.9375  |   0.9096  |               |              3.6123  |
|          |      9  |      0.9800  |     0.9541  |   0.9297  |               |              3.9937  |
|          |     10  |      0.9292  |     0.9863  |   0.9346  |               |              4.3729  |
|          |   eval  |      0.9292  |     0.9863  |   0.9346  |       0.9346  |              4.4010  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4668  |     0.6748  |   0.6432  |               |              0.4983  |
|          |      1  |      1.2793  |     0.7959  |   0.7305  |               |              0.9128  |
|          |      2  |      1.2178  |     0.8174  |   0.7660  |               |              1.3289  |
|          |      3  |      1.1562  |     0.8584  |   0.8324  |               |              1.7074  |
|          |      4  |      1.1357  |     0.8633  |   0.8015  |               |              2.0899  |
|          |      5  |      1.1172  |     0.8711  |   0.8438  |               |              2.4695  |
|          |      6  |      1.0596  |     0.9131  |   0.8814  |               |              2.8504  |
|          |      7  |      1.0391  |     0.9170  |   0.9021  |               |              3.2322  |
|          |      8  |      0.9839  |     0.9580  |   0.9060  |               |              3.6112  |
|          |      9  |      0.9746  |     0.9561  |   0.9297  |               |              3.9920  |
|          |     10  |      0.9351  |     0.9795  |   0.9336  |               |              4.3723  |
|          |   eval  |      0.9351  |     0.9795  |   0.9336  |       0.9336  |              4.4003  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4365  |     0.7061  |   0.6425  |               |              0.5114  |
|          |      1  |      1.2451  |     0.8252  |   0.7438  |               |              0.9243  |
|          |      2  |      1.2500  |     0.8213  |   0.7523  |               |              1.3391  |
|          |      3  |      1.1914  |     0.8398  |   0.7026  |               |              1.7206  |
|          |      4  |      1.1367  |     0.8701  |   0.8542  |               |              2.1022  |
|          |      5  |      1.1045  |     0.8896  |   0.8755  |               |              2.4839  |
|          |      6  |      1.0703  |     0.8965  |   0.8867  |               |              2.8659  |
|          |      7  |      1.0488  |     0.9160  |   0.8931  |               |              3.2461  |
|          |      8  |      1.0107  |     0.9434  |   0.9113  |               |              3.6278  |
|          |      9  |      0.9546  |     0.9707  |   0.9332  |               |              4.0093  |
|          |     10  |      0.9360  |     0.9834  |   0.9351  |               |              4.3892  |
|          |   eval  |      0.9360  |     0.9834  |   0.9351  |       0.9351  |              4.4173  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4531  |     0.7080  |   0.6627  |               |              0.4160  |
|          |      1  |      1.2441  |     0.8213  |   0.7348  |               |              0.8281  |
|          |      2  |      1.1895  |     0.8447  |   0.8166  |               |              1.2450  |
|          |      3  |      1.1641  |     0.8730  |   0.8330  |               |              1.6247  |
|          |      4  |      1.1494  |     0.8701  |   0.7562  |               |              2.0071  |
|          |      5  |      1.1143  |     0.8828  |   0.8511  |               |              2.3872  |
|          |      6  |      1.0781  |     0.8965  |   0.8753  |               |              2.7678  |
|          |      7  |      1.0400  |     0.9180  |   0.8802  |               |              3.1489  |
|          |      8  |      0.9854  |     0.9541  |   0.9081  |               |              3.5290  |
|          |      9  |      0.9629  |     0.9609  |   0.9300  |               |              3.9101  |
|          |     10  |      0.9326  |     0.9824  |   0.9342  |               |              4.2919  |
|          |   eval  |      0.9326  |     0.9824  |   0.9342  |       0.9342  |              4.3198  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4336  |     0.7061  |   0.6691  |               |              0.5008  |
|          |      1  |      1.2549  |     0.8174  |   0.7416  |               |              0.9141  |
|          |      2  |      1.2314  |     0.8193  |   0.8083  |               |              1.3304  |
|          |      3  |      1.2129  |     0.8154  |   0.8126  |               |              1.7102  |
|          |      4  |      1.1348  |     0.8760  |   0.8107  |               |              2.0917  |
|          |      5  |      1.1074  |     0.8779  |   0.8567  |               |              2.4736  |
|          |      6  |      1.0635  |     0.9043  |   0.8678  |               |              2.8550  |
|          |      7  |      1.0615  |     0.9053  |   0.8789  |               |              3.2365  |
|          |      8  |      1.0098  |     0.9414  |   0.9075  |               |              3.6168  |
|          |      9  |      0.9673  |     0.9609  |   0.9312  |               |              3.9990  |
|          |     10  |      0.9360  |     0.9824  |   0.9344  |               |              4.3808  |
|          |   eval  |      0.9360  |     0.9824  |   0.9344  |       0.9344  |              4.4090  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4062  |     0.7227  |   0.6795  |               |              0.4172  |
|          |      1  |      1.2461  |     0.8135  |   0.7192  |               |              0.8301  |
|          |      2  |      1.2119  |     0.8291  |   0.8104  |               |              1.2446  |
|          |      3  |      1.1543  |     0.8613  |   0.7939  |               |              1.6256  |
|          |      4  |      1.1328  |     0.8730  |   0.8452  |               |              2.0073  |
|          |      5  |      1.1006  |     0.8887  |   0.8371  |               |              2.3889  |
|          |      6  |      1.0635  |     0.9092  |   0.8793  |               |              2.7697  |
|          |      7  |      1.0479  |     0.9199  |   0.8746  |               |              3.1511  |
|          |      8  |      0.9795  |     0.9619  |   0.9091  |               |              3.5326  |
|          |      9  |      0.9707  |     0.9648  |   0.9314  |               |              3.9146  |
|          |     10  |      0.9370  |     0.9785  |   0.9356  |               |              4.2944  |
|          |   eval  |      0.9370  |     0.9785  |   0.9356  |       0.9356  |              4.3226  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4072  |     0.7373  |   0.6912  |               |              0.4940  |
|          |      1  |      1.3125  |     0.7773  |   0.6355  |               |              0.9068  |
|          |      2  |      1.2080  |     0.8438  |   0.8178  |               |              1.3230  |
|          |      3  |      1.1787  |     0.8535  |   0.8114  |               |              1.7042  |
|          |      4  |      1.1123  |     0.8770  |   0.8075  |               |              2.0857  |
|          |      5  |      1.1016  |     0.8916  |   0.8462  |               |              2.4672  |
|          |      6  |      1.0625  |     0.9082  |   0.8721  |               |              2.8484  |
|          |      7  |      1.0469  |     0.9111  |   0.8957  |               |              3.2295  |
|          |      8  |      0.9976  |     0.9443  |   0.9109  |               |              3.6108  |
|          |      9  |      0.9766  |     0.9531  |   0.9289  |               |              3.9923  |
|          |     10  |      0.9365  |     0.9795  |   0.9350  |               |              4.3729  |
|          |   eval  |      0.9365  |     0.9795  |   0.9350  |       0.9350  |              4.4011  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4688  |     0.6768  |   0.6823  |               |              0.5036  |
|          |      1  |      1.2324  |     0.8301  |   0.7721  |               |              0.9166  |
|          |      2  |      1.2188  |     0.8340  |   0.7373  |               |              1.3316  |
|          |      3  |      1.1572  |     0.8662  |   0.8240  |               |              1.7110  |
|          |      4  |      1.1035  |     0.9014  |   0.8381  |               |              2.0941  |
|          |      5  |      1.0889  |     0.8994  |   0.8403  |               |              2.4758  |
|          |      6  |      1.0566  |     0.9141  |   0.8705  |               |              2.8571  |
|          |      7  |      1.0586  |     0.9102  |   0.8895  |               |              3.2382  |
|          |      8  |      1.0029  |     0.9365  |   0.9181  |               |              3.6222  |
|          |      9  |      0.9722  |     0.9629  |   0.9286  |               |              4.0032  |
|          |     10  |      0.9321  |     0.9805  |   0.9342  |               |              4.3847  |
