------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4111  |     0.7168  |   0.6893  |               |              8.2601  |
|       0  |      1  |      1.2871  |     0.7939  |   0.6924  |               |              8.6663  |
|       0  |      2  |      1.1895  |     0.8555  |   0.8081  |               |              9.0736  |
|       0  |      3  |      1.1436  |     0.8604  |   0.8264  |               |              9.4484  |
|       0  |      4  |      1.1465  |     0.8701  |   0.8600  |               |              9.8212  |
|       0  |      5  |      1.1094  |     0.8877  |   0.8524  |               |             10.1969  |
|       0  |      6  |      1.0449  |     0.9209  |   0.8774  |               |             10.5699  |
|       0  |      7  |      1.0234  |     0.9336  |   0.8956  |               |             10.9444  |
|       0  |      8  |      0.9707  |     0.9561  |   0.9193  |               |             11.3196  |
|       0  |      9  |      0.9390  |     0.9805  |   0.9306  |               |             11.6643  |
|       0  |   eval  |      0.9390  |     0.9805  |   0.9306  |       0.9306  |             11.6920  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4062  |     0.7197  |   0.6849  |               |              0.4097  |
|       1  |      1  |      1.2822  |     0.8057  |   0.7149  |               |              0.8157  |
|       1  |      2  |      1.2070  |     0.8418  |   0.7960  |               |              1.2226  |
|       1  |      3  |      1.1406  |     0.8604  |   0.8303  |               |              1.5964  |
|       1  |      4  |      1.1348  |     0.8701  |   0.8426  |               |              1.9730  |
|       1  |      5  |      1.0781  |     0.9004  |   0.8518  |               |              2.3466  |
|       1  |      6  |      1.0439  |     0.9209  |   0.8823  |               |              2.7211  |
|       1  |      7  |      1.0117  |     0.9385  |   0.9029  |               |              3.0971  |
|       1  |      8  |      0.9790  |     0.9570  |   0.9180  |               |              3.4716  |
|       1  |      9  |      0.9443  |     0.9785  |   0.9316  |               |              3.8166  |
|       1  |   eval  |      0.9443  |     0.9785  |   0.9316  |       0.9316  |              3.8443  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4229  |     0.7070  |   0.6717  |               |              0.4878  |
|       2  |      1  |      1.2705  |     0.8027  |   0.7678  |               |              0.8946  |
|       2  |      2  |      1.1816  |     0.8477  |   0.6769  |               |              1.3027  |
|       2  |      3  |      1.1826  |     0.8398  |   0.8438  |               |              1.6776  |
|       2  |      4  |      1.1328  |     0.8672  |   0.8516  |               |              2.0543  |
|       2  |      5  |      1.0947  |     0.8867  |   0.8649  |               |              2.4290  |
|       2  |      6  |      1.0566  |     0.9082  |   0.8820  |               |              2.8047  |
|       2  |      7  |      1.0225  |     0.9258  |   0.8860  |               |              3.1817  |
|       2  |      8  |      0.9756  |     0.9648  |   0.9247  |               |              3.5554  |
|       2  |      9  |      0.9443  |     0.9766  |   0.9321  |               |              3.9022  |
|       2  |   eval  |      0.9443  |     0.9766  |   0.9321  |       0.9321  |              3.9300  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4541  |     0.6973  |   0.6388  |               |              0.4113  |
|       3  |      1  |      1.3027  |     0.7842  |   0.6124  |               |              0.8192  |
|       3  |      2  |      1.2061  |     0.8408  |   0.7690  |               |              1.2277  |
|       3  |      3  |      1.1504  |     0.8574  |   0.8425  |               |              1.6039  |
|       3  |      4  |      1.1221  |     0.8682  |   0.8200  |               |              1.9811  |
|       3  |      5  |      1.0947  |     0.8877  |   0.8715  |               |              2.3562  |
|       3  |      6  |      1.0332  |     0.9307  |   0.8883  |               |              2.7328  |
|       3  |      7  |      1.0146  |     0.9355  |   0.9035  |               |              3.1095  |
|       3  |      8  |      0.9653  |     0.9619  |   0.9205  |               |              3.4848  |
|       3  |      9  |      0.9424  |     0.9766  |   0.9330  |               |              3.8322  |
|       3  |   eval  |      0.9424  |     0.9766  |   0.9330  |       0.9330  |              3.8598  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4277  |     0.7021  |   0.6237  |               |              0.4164  |
|       4  |      1  |      1.2734  |     0.8047  |   0.6981  |               |              0.8265  |
|       4  |      2  |      1.2246  |     0.8232  |   0.7509  |               |              1.2397  |
|       4  |      3  |      1.1904  |     0.8438  |   0.8328  |               |              1.6147  |
|       4  |      4  |      1.1230  |     0.8779  |   0.8637  |               |              1.9932  |
|       4  |      5  |      1.0859  |     0.9033  |   0.8677  |               |              2.3687  |
|       4  |      6  |      1.0527  |     0.9053  |   0.8960  |               |              2.7458  |
|       4  |      7  |      1.0186  |     0.9365  |   0.9090  |               |              3.1231  |
|       4  |      8  |      0.9814  |     0.9541  |   0.9200  |               |              3.4989  |
|       4  |      9  |      0.9434  |     0.9795  |   0.9322  |               |              3.8475  |
|       4  |   eval  |      0.9434  |     0.9795  |   0.9322  |       0.9322  |              3.8752  |
